image_id,image_path,true_label,architecture,model_name,layer_or_block,xai_method,predicted_label,confidence,correct,pearson,spearman,iou_top20,iou_otsu,z_spearman,z_iou_top20,n_sas
image_000010,data/val.X/n01440764/ILSVRC2012_val_00026064.JPEG,0,vit,vit_supervised,block_03,gmar,0,0.9976906776428224,1,0.4948001,0.46029472,0.467466,0.3783265,2.8303165,5.4389577,4.134637
image_000011,data/val.X/n01440764/ILSVRC2012_val_00034654.JPEG,0,vit,vit_supervised,block_03,gmar,0,0.9999773502349854,1,0.5364128,0.11763373,0.36767513,0.36078233,0.726887,3.8864133,2.3066502
image_000012,data/val.X/n01440764/ILSVRC2012_val_00037596.JPEG,0,vit,vit_supervised,block_03,gmar,0,0.9999724626541138,1,0.34883723,0.27472252,0.2274951,0.30951747,1.6911787,1.7054958,1.6983373
image_000013,data/val.X/n01440764/ILSVRC2012_val_00039905.JPEG,0,vit,vit_supervised,block_03,gmar,0,0.9999734163284302,1,0.4416649,0.4967118,0.276926,0.36391932,3.053863,2.4745407,2.7642019
image_000014,data/val.X/n01440764/ILSVRC2012_val_00045866.JPEG,0,vit,vit_supervised,block_03,gmar,0,0.9999833106994628,1,0.37055197,0.14406718,0.2899743,0.27965742,0.8891491,2.6775458,1.7833475
image_000015,data/val.X/n01440764/ILSVRC2012_val_00046499.JPEG,0,vit,vit_supervised,block_03,gmar,0,0.9999916553497314,1,0.045268223,-0.14103785,0.20538074,0.23001923,-0.86097234,1.361441,0.25023434
image_000016,data/val.X/n01440764/ILSVRC2012_val_00048969.JPEG,0,vit,vit_supervised,block_03,gmar,0,0.9999951124191284,1,-0.37739104,-0.46903944,0.09288903,0.15591155,-2.874415,-0.38870224,-1.6315585
image_000017,data/val.X/n01443537/ILSVRC2012_val_00000236.JPEG,1,vit,vit_supervised,block_03,gmar,5,0.5669546723365784,0,0.496032,0.6056138,0.24973539,0.38910726,3.72236,2.0515096,2.8869348
image_000018,data/val.X/n01443537/ILSVRC2012_val_00000262.JPEG,1,vit,vit_supervised,block_03,gmar,1,0.9991738200187684,1,0.33074105,0.43038177,0.30609056,0.26307195,2.6466954,2.928282,2.7874887
image_000019,data/val.X/n01443537/ILSVRC2012_val_00005870.JPEG,1,vit,vit_supervised,block_03,gmar,1,0.9983447790145874,1,0.11167304,0.117322676,0.17931844,0.31013846,0.7249776,0.95596445,0.840471
image_000020,data/val.X/n01443537/ILSVRC2012_val_00006216.JPEG,1,vit,vit_supervised,block_03,gmar,1,0.9999895095825196,1,0.22038135,0.06973285,0.25701404,0.25822762,0.43284675,2.1647506,1.2987987
image_000021,data/val.X/n01443537/ILSVRC2012_val_00010363.JPEG,1,vit,vit_supervised,block_03,gmar,1,0.9999247789382936,1,0.5029968,0.15876624,0.3410837,0.27149925,0.97937953,3.4727046,2.226042
image_000022,data/val.X/n01443537/ILSVRC2012_val_00012880.JPEG,1,vit,vit_supervised,block_03,gmar,1,0.9535695910453796,1,0.42017597,0.42951345,0.26621246,0.47507975,2.6413653,2.3078597,2.4746125
image_000023,data/val.X/n01443537/ILSVRC2012_val_00018075.JPEG,1,vit,vit_supervised,block_03,gmar,1,0.999988317489624,1,0.41253042,0.4378056,0.16433668,0.19002528,2.6922667,0.7228786,1.7075727
image_000024,data/val.X/n01443537/ILSVRC2012_val_00021905.JPEG,1,vit,vit_supervised,block_03,gmar,1,0.9997808337211608,1,0.056691363,-0.028216343,0.13145433,0.16245534,-0.16841583,0.21129578,0.021439977
image_000025,data/val.X/n01443537/ILSVRC2012_val_00022138.JPEG,1,vit,vit_supervised,block_03,gmar,1,0.9950709342956544,1,0.5673803,0.28733328,0.38094255,0.37025204,1.7685901,4.0928273,2.9307086
image_000026,data/val.X/n01443537/ILSVRC2012_val_00023869.JPEG,1,vit,vit_supervised,block_03,gmar,1,0.9990612864494324,1,0.4965416,0.47733587,0.34090453,0.32206503,2.934924,3.469917,3.2024205
image_000027,data/val.X/n01443537/ILSVRC2012_val_00031138.JPEG,1,vit,vit_supervised,block_03,gmar,1,0.9997506737709044,1,-0.060154684,-0.07197993,0.09959461,0.074751265,-0.43705925,-0.28437707,-0.36071816
image_000028,data/val.X/n01443537/ILSVRC2012_val_00032258.JPEG,1,vit,vit_supervised,block_03,gmar,1,0.9999758005142212,1,0.22920106,0.17180312,0.25246474,0.30728468,1.0594065,2.093973,1.5766897
image_000029,data/val.X/n01443537/ILSVRC2012_val_00032675.JPEG,1,vit,vit_supervised,block_03,gmar,1,0.999919891357422,1,0.100574285,-0.046128612,0.12422986,0.1938986,-0.27837056,0.098897636,-0.08973646
image_000030,data/val.X/n01443537/ILSVRC2012_val_00037846.JPEG,1,vit,vit_supervised,block_03,gmar,1,0.9783252477645874,1,0.20320675,0.32223615,0.054423198,0.2616138,1.9828418,-0.9871528,0.49784452
image_000031,data/val.X/n01443537/ILSVRC2012_val_00038057.JPEG,1,vit,vit_supervised,block_03,gmar,1,0.9961369633674622,1,0.5709653,0.39365262,0.29180074,0.2252471,2.421233,2.7059612,2.5635972
image_000032,data/val.X/n01443537/ILSVRC2012_val_00046915.JPEG,1,vit,vit_supervised,block_03,gmar,1,0.940731167793274,1,-0.04814697,0.044372965,0.045634508,0.042301588,0.2771747,-1.1238871,-0.42335618
image_000033,data/val.X/n01443537/ILSVRC2012_val_00049617.JPEG,1,vit,vit_supervised,block_03,gmar,1,0.9912444353103638,1,0.16320607,0.13063174,0.18516769,0.11208725,0.8066755,1.0469668,0.9268211
image_000034,data/val.X/n01484850/ILSVRC2012_val_00004311.JPEG,2,vit,vit_supervised,block_03,gmar,2,0.8784523010253906,1,0.5717073,0.34012774,0.40442204,0.4174867,2.0926697,4.4581213,3.2753954
image_000035,data/val.X/n01484850/ILSVRC2012_val_00008848.JPEG,2,vit,vit_supervised,block_03,gmar,3,0.532076895236969,0,0.47093645,0.16606517,0.4134216,0.3049308,1.0241841,4.5981355,2.8111598
image_000036,data/val.X/n01484850/ILSVRC2012_val_00014467.JPEG,2,vit,vit_supervised,block_03,gmar,2,0.996947467327118,1,0.16580653,0.15621188,0.1260589,0.19057715,0.9636996,0.12735385,0.54552674
image_000037,data/val.X/n01484850/ILSVRC2012_val_00015157.JPEG,2,vit,vit_supervised,block_03,gmar,2,0.8568425178527832,1,0.640357,0.3962584,0.5502008,0.43933457,2.4372287,6.726144,4.581686
image_000038,data/val.X/n01484850/ILSVRC2012_val_00016168.JPEG,2,vit,vit_supervised,block_03,gmar,3,0.5528028607368469,0,0.039121166,0.18509082,0.047325853,0.33564055,1.1409733,-1.0975732,0.021700084
image_000039,data/val.X/n01484850/ILSVRC2012_val_00017194.JPEG,2,vit,vit_supervised,block_03,gmar,2,0.6175040602684021,1,0.57881427,0.61477196,0.3783821,0.37022054,3.7785773,4.0529923,3.9157848
image_000040,data/val.X/n01484850/ILSVRC2012_val_00020011.JPEG,2,vit,vit_supervised,block_03,gmar,2,0.9972502589225768,1,0.47372296,0.21298423,0.22952527,0.27369484,1.3121974,1.737081,1.5246392
image_000041,data/val.X/n01484850/ILSVRC2012_val_00027419.JPEG,2,vit,vit_supervised,block_03,gmar,2,0.979409158229828,1,0.63808805,0.49947506,0.34548867,0.32628772,3.0708256,3.5412369,3.3060312
image_000042,data/val.X/n01484850/ILSVRC2012_val_00027514.JPEG,2,vit,vit_supervised,block_03,gmar,2,0.6629815697669983,1,0.27850395,0.28916866,0.22226281,0.401529,1.7798566,1.624092,1.7019743
image_000043,data/val.X/n01484850/ILSVRC2012_val_00029481.JPEG,2,vit,vit_supervised,block_03,gmar,2,0.9756978154182434,1,0.66310996,0.45023358,0.46500257,0.42837802,2.7685559,5.400631,4.0845933
image_000044,data/val.X/n01484850/ILSVRC2012_val_00032288.JPEG,2,vit,vit_supervised,block_03,gmar,2,0.9988008737564088,1,0.2483667,0.37599027,0.13864307,0.17418534,2.3128123,0.323138,1.3179752
image_000045,data/val.X/n01484850/ILSVRC2012_val_00036737.JPEG,2,vit,vit_supervised,block_03,gmar,2,0.7903978228569031,1,0.7577237,0.40365088,0.7655027,0.7773796,2.4826074,10.075806,6.2792063
image_000046,data/val.X/n01484850/ILSVRC2012_val_00037998.JPEG,2,vit,vit_supervised,block_03,gmar,2,0.8910651803016663,1,0.10441453,0.24000874,0.10303896,0.34726146,1.4780878,-0.23078994,0.62364894
image_000047,data/val.X/n01484850/ILSVRC2012_val_00039865.JPEG,2,vit,vit_supervised,block_03,gmar,2,0.9783621430397034,1,0.0010625124,-0.011878639,0.023559408,0.41055563,-0.0681266,-1.4673309,-0.76772875
image_000048,data/val.X/n01484850/ILSVRC2012_val_00040710.JPEG,2,vit,vit_supervised,block_03,gmar,2,0.991036295890808,1,0.13771665,0.09127352,0.13330698,0.12515138,0.56507444,0.2401192,0.40259683
image_000049,data/val.X/n01484850/ILSVRC2012_val_00042345.JPEG,2,vit,vit_supervised,block_03,gmar,4,0.756330668926239,0,0.4298403,0.37732118,0.3320061,0.35094807,2.3209822,3.3314753,2.8262286
image_000050,data/val.X/n01484850/ILSVRC2012_val_00044052.JPEG,2,vit,vit_supervised,block_03,gmar,4,0.6737313270568848,0,0.2189498,0.22913131,0.22742005,0.41738302,1.4113165,1.7043281,1.5578222
image_000051,data/val.X/n01491361/ILSVRC2012_val_00003183.JPEG,3,vit,vit_supervised,block_03,gmar,3,0.9048542380332948,1,0.5739418,0.58547354,0.3462106,0.41912824,3.5987284,3.5524688,3.5755987
image_000052,data/val.X/n01491361/ILSVRC2012_val_00007743.JPEG,3,vit,vit_supervised,block_03,gmar,3,0.9231933951377868,1,0.5442953,0.5267534,0.46778792,0.35172367,3.238274,5.443966,4.34112
image_000053,data/val.X/n01491361/ILSVRC2012_val_00007875.JPEG,3,vit,vit_supervised,block_03,gmar,2,0.865166962146759,0,0.4684696,0.51523536,0.31112418,0.20713052,3.1675704,3.006595,3.0870826
image_000054,data/val.X/n01491361/ILSVRC2012_val_00008024.JPEG,3,vit,vit_supervised,block_03,gmar,3,0.9745041728019714,1,-0.04862985,-0.12410021,0.14350823,0.25551152,-0.7570003,0.39882994,-0.1790852
image_000055,data/val.X/n01491361/ILSVRC2012_val_00015631.JPEG,3,vit,vit_supervised,block_03,gmar,3,0.7800068855285645,1,-0.41559464,-0.40171987,0.0063170562,0.09097233,-2.4611728,-1.735587,-2.0983799
image_000056,data/val.X/n01491361/ILSVRC2012_val_00019424.JPEG,3,vit,vit_supervised,block_03,gmar,2,0.8739733695983887,0,0.07351674,0.09532355,0.2113458,0.39814213,0.5899356,1.4542454,1.0220906
image_000057,data/val.X/n01491361/ILSVRC2012_val_00024854.JPEG,3,vit,vit_supervised,block_03,gmar,3,0.8001116514205933,1,0.12260032,0.14605832,0.1306895,0.26621196,0.9013718,0.19939654,0.55038416
image_000058,data/val.X/n01491361/ILSVRC2012_val_00024895.JPEG,3,vit,vit_supervised,block_03,gmar,3,0.9928722381591796,1,0.30307987,0.06749187,0.21457098,0.12429257,0.41909042,1.5044227,0.9617565
image_000059,data/val.X/n01491361/ILSVRC2012_val_00025969.JPEG,3,vit,vit_supervised,block_03,gmar,3,0.9696897864341736,1,0.6172749,0.620295,0.45565307,0.39757746,3.8124804,5.2551723,4.5338264
image_000060,data/val.X/n01491361/ILSVRC2012_val_00026001.JPEG,3,vit,vit_supervised,block_03,gmar,3,0.9581139087677002,1,0.6783078,0.4101112,0.53997236,0.5416214,2.522264,6.56701,4.5446367
image_000061,data/val.X/n01491361/ILSVRC2012_val_00030658.JPEG,3,vit,vit_supervised,block_03,gmar,3,0.6256213784217834,1,0.08021912,-0.029075265,0.19072196,0.17146327,-0.17368834,1.13338,0.47984585
image_000062,data/val.X/n01491361/ILSVRC2012_val_00034038.JPEG,3,vit,vit_supervised,block_03,gmar,3,0.999901294708252,1,0.20476659,0.11024195,0.3463009,0.3072546,0.6815124,3.5538735,2.117693
image_000063,data/val.X/n01491361/ILSVRC2012_val_00034413.JPEG,3,vit,vit_supervised,block_03,gmar,3,0.961931586265564,1,0.37791535,0.21102536,0.49970114,0.5031578,1.3001729,5.940471,3.620322
image_000064,data/val.X/n01491361/ILSVRC2012_val_00036420.JPEG,3,vit,vit_supervised,block_03,gmar,3,0.9841230511665344,1,-0.040078297,-0.12459151,0.12290909,0.18688205,-0.7600162,0.0783491,-0.34083354
image_000065,data/val.X/n01491361/ILSVRC2012_val_00037516.JPEG,3,vit,vit_supervised,block_03,gmar,3,0.5351896286010742,1,0.20344919,0.3708257,0.12492294,0.28847334,2.2811096,0.10968049,1.195395
image_000066,data/val.X/n01491361/ILSVRC2012_val_00047326.JPEG,3,vit,vit_supervised,block_03,gmar,3,0.7706979513168335,1,-0.13191897,-0.011038497,0.045416668,0.0006215338,-0.06296937,-1.1272762,-0.59512275
image_000067,data/val.X/n01491361/ILSVRC2012_val_00048890.JPEG,3,vit,vit_supervised,block_03,gmar,3,0.9986170530319214,1,-0.35643256,-0.4446851,0.10662697,0.111830294,-2.7249155,-0.17496772,-1.4499416
image_000068,data/val.X/n01494475/ILSVRC2012_val_00007405.JPEG,4,vit,vit_supervised,block_03,gmar,4,0.9469017386436462,1,0.2604376,0.31581455,0.07434566,0.37791497,1.9434228,-0.67719954,0.6331116
image_000069,data/val.X/n01494475/ILSVRC2012_val_00013847.JPEG,4,vit,vit_supervised,block_03,gmar,4,0.9928593635559082,1,0.5886571,0.37244293,0.49512103,0.40879062,2.2910368,5.8692136,4.0801253
image_000070,data/val.X/n01494475/ILSVRC2012_val_00016259.JPEG,4,vit,vit_supervised,block_03,gmar,4,0.9989771842956544,1,0.7203096,0.7023293,0.5617803,0.51046073,4.316049,6.9062967,5.6111727
image_000071,data/val.X/n01494475/ILSVRC2012_val_00016395.JPEG,4,vit,vit_supervised,block_03,gmar,4,0.977957248687744,1,0.07858151,0.03908071,0.14592373,0.17361805,0.24468812,0.43641037,0.34054923
image_000072,data/val.X/n01494475/ILSVRC2012_val_00018943.JPEG,4,vit,vit_supervised,block_03,gmar,4,0.8535814881324768,1,0.7529731,0.7368781,0.5577804,0.5131085,4.5281277,6.8440666,5.686097
image_000073,data/val.X/n01494475/ILSVRC2012_val_00023074.JPEG,4,vit,vit_supervised,block_03,gmar,4,0.9964674711227416,1,0.2640106,0.36525565,0.18656893,0.28031382,2.2469177,1.0687674,1.6578426
image_000074,data/val.X/n01494475/ILSVRC2012_val_00023986.JPEG,4,vit,vit_supervised,block_03,gmar,4,0.8013450503349304,1,0.4731533,0.06900598,0.2927159,0.14740844,0.42838484,2.7201996,1.5742922
image_000075,data/val.X/n01494475/ILSVRC2012_val_00024015.JPEG,4,vit,vit_supervised,block_03,gmar,4,0.9761813879013062,1,0.45314395,0.2664005,0.5013838,0.2846907,1.6400938,5.9666495,3.8033717
image_000076,data/val.X/n01494475/ILSVRC2012_val_00027283.JPEG,4,vit,vit_supervised,block_03,gmar,4,0.8186944127082825,1,0.5854135,0.72112495,0.43269095,0.17516014,4.4314265,4.8979278,4.664677
image_000077,data/val.X/n01494475/ILSVRC2012_val_00034115.JPEG,4,vit,vit_supervised,block_03,gmar,6,0.545006513595581,0,-0.24017495,-0.2860615,0.083508775,0.11711093,-1.7512022,-0.5346401,-1.1429212
image_000078,data/val.X/n01494475/ILSVRC2012_val_00037705.JPEG,4,vit,vit_supervised,block_03,gmar,4,0.7233505249023438,1,0.5276576,0.35290474,0.36432844,0.1956396,2.1711013,3.8343456,3.0027235
image_000079,data/val.X/n01494475/ILSVRC2012_val_00039588.JPEG,4,vit,vit_supervised,block_03,gmar,4,0.6979035139083862,1,0.6428997,0.19861887,0.49724004,0.40468124,1.2240155,5.9021807,3.563098
image_000080,data/val.X/n01494475/ILSVRC2012_val_00040843.JPEG,4,vit,vit_supervised,block_03,gmar,4,0.8743391036987305,1,0.40745088,0.24699938,0.30668578,0.30216184,1.5209999,2.9375424,2.2292712
image_000081,data/val.X/n01494475/ILSVRC2012_val_00041400.JPEG,4,vit,vit_supervised,block_03,gmar,4,0.9095249772071838,1,0.49934188,0.57099426,0.1715403,0.5275636,3.5098472,0.83495235,2.1723998
image_000082,data/val.X/n01494475/ILSVRC2012_val_00044788.JPEG,4,vit,vit_supervised,block_03,gmar,4,0.9863975644111632,1,-0.4345882,-0.45461032,0.011082007,0.14025334,-2.7858417,-1.661454,-2.2236478
image_000083,data/val.X/n01494475/ILSVRC2012_val_00047431.JPEG,4,vit,vit_supervised,block_03,gmar,4,0.9937246441841124,1,0.5280144,0.24638233,0.30033687,0.31450334,1.5172122,2.8387663,2.1779892
image_000084,data/val.X/n01494475/ILSVRC2012_val_00048576.JPEG,4,vit,vit_supervised,block_03,gmar,4,0.969353199005127,1,0.1993248,0.122558594,0.2333784,0.22320338,0.75711834,1.797028,1.2770731
image_000085,data/val.X/n01496331/ILSVRC2012_val_00004698.JPEG,5,vit,vit_supervised,block_03,gmar,5,0.7026131749153137,1,0.5337066,0.19252348,0.3330677,0.29217935,1.1865988,3.3479915,2.2672951
image_000086,data/val.X/n01496331/ILSVRC2012_val_00004969.JPEG,5,vit,vit_supervised,block_03,gmar,5,0.9638497233390808,1,0.019772708,0.1052127,0.24184866,0.16115633,0.6506403,1.9288081,1.2897242
image_000087,data/val.X/n01496331/ILSVRC2012_val_00005432.JPEG,5,vit,vit_supervised,block_03,gmar,5,0.7826240658760071,1,0.61710036,0.6292317,0.5304613,0.42860815,3.8673384,6.4190373,5.143188
image_000088,data/val.X/n01496331/ILSVRC2012_val_00009420.JPEG,5,vit,vit_supervised,block_03,gmar,5,0.679085910320282,1,0.7156752,0.32437542,0.40866026,0.48765987,1.9959738,4.524059,3.2600164
image_000089,data/val.X/n01496331/ILSVRC2012_val_00009518.JPEG,5,vit,vit_supervised,block_03,gmar,6,0.8503673076629639,0,0.0016018748,-0.044213608,0.17455673,0.21069686,-0.26661527,0.8818819,0.3076333
image_000090,data/val.X/n01496331/ILSVRC2012_val_00015549.JPEG,5,vit,vit_supervised,block_03,gmar,5,0.9650095701217652,1,0.21135287,0.25744903,0.11140642,0.27036032,1.5851452,-0.10060914,0.742268
image_000091,data/val.X/n01496331/ILSVRC2012_val_00016331.JPEG,5,vit,vit_supervised,block_03,gmar,5,0.9974169731140136,1,-0.27771044,-0.34876707,0.04530778,0.12290775,-2.1361213,-1.1289701,-1.6325457
image_000092,data/val.X/n01496331/ILSVRC2012_val_00021461.JPEG,5,vit,vit_supervised,block_03,gmar,5,0.9345957636833192,1,0.5560578,0.40921456,0.5954217,0.44255915,2.51676,7.429689,4.9732246
image_000093,data/val.X/n01496331/ILSVRC2012_val_00033070.JPEG,5,vit,vit_supervised,block_03,gmar,5,0.9993821382522584,1,0.5449743,0.47464103,0.35961527,0.33827868,2.9183815,3.7610183,3.3396997
image_000094,data/val.X/n01496331/ILSVRC2012_val_00037260.JPEG,5,vit,vit_supervised,block_03,gmar,5,0.912744641304016,1,0.44289625,0.46808776,0.2737657,0.2453684,2.878154,2.4253728,2.6517634
image_000095,data/val.X/n01496331/ILSVRC2012_val_00040567.JPEG,5,vit,vit_supervised,block_03,gmar,5,0.998040735721588,1,0.4058328,0.13532653,0.39437306,0.37790117,0.8354945,4.3017793,2.568637
image_000096,data/val.X/n01496331/ILSVRC2012_val_00042751.JPEG,5,vit,vit_supervised,block_03,gmar,5,0.4671955406665802,1,-0.16854307,-0.16948482,0.019038431,0.15262462,-1.0355945,-1.5376681,-1.2866313
image_000097,data/val.X/n01496331/ILSVRC2012_val_00044657.JPEG,5,vit,vit_supervised,block_03,gmar,0,0.6167795062065125,0,0.2796188,0.27287114,0.13164571,0.38646153,1.679814,0.2142732,0.9470436
image_000098,data/val.X/n01496331/ILSVRC2012_val_00045502.JPEG,5,vit,vit_supervised,block_03,gmar,5,0.9961023330688475,1,0.26854753,0.024549022,0.3284797,0.316967,0.15548514,3.2766118,1.7160485
image_000099,data/val.X/n01496331/ILSVRC2012_val_00045936.JPEG,5,vit,vit_supervised,block_03,gmar,5,0.9960489869117736,1,-0.11618313,-0.20425859,0.108827755,0.12882665,-1.2490537,-0.140728,-0.69489086
image_000100,data/val.X/n01496331/ILSVRC2012_val_00047080.JPEG,5,vit,vit_supervised,block_03,gmar,5,0.9774004817008972,1,0.41047296,0.44916758,0.2746555,0.22153218,2.7620122,2.439216,2.600614
image_000101,data/val.X/n01496331/ILSVRC2012_val_00048119.JPEG,5,vit,vit_supervised,block_03,gmar,5,0.5558648705482483,1,0.47259188,0.24781089,0.44444445,0.43472067,1.5259814,5.080788,3.3033848
image_000102,data/val.X/n01498041/ILSVRC2012_val_00009734.JPEG,6,vit,vit_supervised,block_03,gmar,6,0.8479406237602234,1,-0.21345419,-0.30406657,0.04607046,0.17856672,-1.8617266,-1.1171045,-1.4894156
image_000103,data/val.X/n01498041/ILSVRC2012_val_00012259.JPEG,6,vit,vit_supervised,block_03,gmar,6,0.9305269122123718,1,-0.008737743,0.066325024,0.1646069,0.11916044,0.41192776,0.7270826,0.5695052
image_000104,data/val.X/n01498041/ILSVRC2012_val_00021793.JPEG,6,vit,vit_supervised,block_03,gmar,6,0.969499409198761,1,0.629364,0.16163908,0.40216556,0.44516075,0.99701446,4.4230146,2.7100146
image_000105,data/val.X/n01498041/ILSVRC2012_val_00023239.JPEG,6,vit,vit_supervised,block_03,gmar,6,0.9989890456199646,1,0.21028736,0.15022172,0.20726573,0.30872595,0.9269289,1.3907678,1.1588483
image_000106,data/val.X/n01498041/ILSVRC2012_val_00024204.JPEG,6,vit,vit_supervised,block_03,gmar,6,0.975989580154419,1,0.40403253,0.4221543,0.19072196,0.18935907,2.596191,1.13338,1.8647854
image_000107,data/val.X/n01498041/ILSVRC2012_val_00029169.JPEG,6,vit,vit_supervised,block_03,gmar,6,0.8591805100440979,1,0.28756094,0.3735796,0.16684106,0.3323751,2.2980144,0.76184165,1.529928
image_000108,data/val.X/n01498041/ILSVRC2012_val_00030470.JPEG,6,vit,vit_supervised,block_03,gmar,6,0.9857030510902404,1,0.3964631,0.4181174,0.17249839,0.50132835,2.5714104,0.8498582,1.7106344
image_000109,data/val.X/n01498041/ILSVRC2012_val_00032441.JPEG,6,vit,vit_supervised,block_03,gmar,6,0.9236035346984864,1,0.4063007,0.34489062,0.29873827,0.31224915,2.1219068,2.8138952,2.467901
image_000110,data/val.X/n01498041/ILSVRC2012_val_00033942.JPEG,6,vit,vit_supervised,block_03,gmar,6,0.7410373687744141,1,0.29058474,0.32994205,0.12852806,0.5466158,2.0301447,0.16576886,1.0979568
image_000111,data/val.X/n01498041/ILSVRC2012_val_00036157.JPEG,6,vit,vit_supervised,block_03,gmar,6,0.9422082304954528,1,0.47647598,0.5391427,0.3242726,0.4324799,3.314326,3.2111578,3.262742
image_000112,data/val.X/n01498041/ILSVRC2012_val_00037798.JPEG,6,vit,vit_supervised,block_03,gmar,6,0.9194697737693788,1,-0.061572187,-0.028010704,0.104617245,0.33566058,-0.16715351,-0.206235,-0.18669426
image_000113,data/val.X/n01498041/ILSVRC2012_val_00038215.JPEG,6,vit,vit_supervised,block_03,gmar,6,0.9986754059791564,1,0.23753157,0.27510348,0.15588827,0.27498272,1.6935173,0.5914385,1.1424779
image_000114,data/val.X/n01498041/ILSVRC2012_val_00039308.JPEG,6,vit,vit_supervised,block_03,gmar,6,0.9844998121261596,1,0.35077536,0.49657208,0.16029829,0.1057528,3.0530055,0.6600493,1.8565273
image_000115,data/val.X/n01498041/ILSVRC2012_val_00042175.JPEG,6,vit,vit_supervised,block_03,gmar,4,0.2719179689884186,0,0.18986951,0.23170575,0.2116383,0.20197135,1.4271199,1.458796,1.4429579
image_000116,data/val.X/n01498041/ILSVRC2012_val_00042534.JPEG,6,vit,vit_supervised,block_03,gmar,6,0.9880537390708924,1,0.15720126,0.3473285,0.10128388,0.079601765,2.1368718,-0.25809544,0.93938816
image_000117,data/val.X/n01498041/ILSVRC2012_val_00043702.JPEG,6,vit,vit_supervised,block_03,gmar,6,0.8966934680938721,1,-0.01531437,-0.015502393,0.17586409,0.28634748,-0.090371065,0.9022216,0.40592527
image_000118,data/val.X/n01498041/ILSVRC2012_val_00049253.JPEG,6,vit,vit_supervised,block_03,gmar,6,0.9147032499313354,1,0.6799411,0.385466,0.30966985,0.33747602,2.3709793,2.9839685,2.677474
image_000119,data/val.X/n01514668/ILSVRC2012_val_00003606.JPEG,7,vit,vit_supervised,block_03,gmar,7,0.9754002690315248,1,0.603595,0.34227195,0.5294118,0.5300534,2.1058319,6.4027085,4.25427
image_000120,data/val.X/n01514668/ILSVRC2012_val_00003936.JPEG,7,vit,vit_supervised,block_03,gmar,12,0.6414045095443726,0,0.4473546,0.47321475,0.36182916,0.49896294,2.9096262,3.795462,3.352544
image_000121,data/val.X/n01514668/ILSVRC2012_val_00004306.JPEG,7,vit,vit_supervised,block_03,gmar,7,0.9717022180557252,1,0.27414274,0.315131,0.15296686,0.2665834,1.9392269,0.5459871,1.242607
image_000122,data/val.X/n01514668/ILSVRC2012_val_00004550.JPEG,7,vit,vit_supervised,block_03,gmar,7,0.9170588850975036,1,-0.11627755,0.020656578,0.16137245,0.052215938,0.13159132,0.67676115,0.40417624
image_000123,data/val.X/n01514668/ILSVRC2012_val_00005492.JPEG,7,vit,vit_supervised,block_03,gmar,7,0.8505156636238098,1,0.6336398,0.39927796,0.59808916,0.572294,2.455764,7.4711895,4.9634767
